"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4416206,"1000 Larpenteur Ave W","St. Paul","MN",55113,214000,3,2,"Como",1954,6969,1918,2,"Garage",117,6/10/2008,"Y","Edina Realty, Inc.","44,991634","-93,142616","N"
4423768,"1004 Charles Ave","St. Paul","MN",55104,134900,3,1,"Thomas-Dale (Frogtown)",1028,4356,1911,1,"Garage",93,8/11/2010,"Y","Fish MLS Realty","44,957291","-93,142624","N"
4427963,"1004 Euclid St","St. Paul","MN",55106,129722,4,1,"Dayton's Bluff",1420,5227,1900,0,"No Garage",77,,"N","Coldwell Banker Burnet","44,954708","-93,057976","N"
4432178,"1005 Saint Anthony Ave","St. Paul","MN",55104,134900,2,"1,75","Summit-University",904,8712,1928,3,"Garage",57,,"N","Real Estate Masters, Ltd.","44,952404","-93,142693","N"
4440070,"100X Chatsworth Pl","Shoreview","MN",55126,444900,4,"2,5","Shoreview",2014,12632,2014,3,"Garage",8,,"N","Coldwell Banker Burnet","44,944391","-93,141348","N"
4416341,"1010 Bush Ave","St. Paul","MN",55106,134900,4,1,"Dayton's Bluff",1980,4791,1904,2,"Garage",117,6/10/2010,"Y","Capitol Brokerage Inc","44,964642","-93,057945","N"
4440221,"1016 Lowry Ave NE","Minneapolis","MN",55418,159000,3,2,"Windom Park",1594,3484,1900,2,"Garage",8,30/8/2013,"Y","Coldwell Banker Burnet","45,012962","-93,244789","N"
4424405,"1017 Earl St","St. Paul","MN",55106,69900,3,"1,25","Payne-Phalen",1255,7405,1894,3,"Garage",91,,"N","Sunset Realty","44,971966","-93,05616","N"
4441184,"1017 Maryland Ave E","St. Paul","MN",55106,79990,2,"1,25","Payne-Phalen",816,4791,1927,1,"Garage",5,,"N","RE/MAX Results","44,977798","-93,057526","Y"
4430384,"1026 6th St E","St. Paul","MN",55106,69900,3,"1,5","Dayton's Bluff",1200,4791,1876,0,"No Garage",68,29/1/2009,"Y","Estate Realty","44,960121","-93,057121","N"
4427222,"1030 Prior Ave S","St. Paul","MN",55116,249900,3,"1,75","Highland",2056,6098,1952,1,"Garage",77,,"N","Premium Real Estate, Inc","44,910465","-93,181953","N"
4435729,"1034 Aurora Ave","St. Paul","MN",55104,149900,5,"1,75","Summit-University",1602,4791,1915,2,"Garage",37,23/2/2011,"Y","LTD Realty","44,954582","-93,143738","N"
4428727,"1048 Como Pl","St. Paul","MN",55103,177500,2,1,"North End/South Como",1538,4791,1929,1,"Garage",75,,"N","Edina Realty, Inc.","44,972698","-93,134132","N"
4439757,"1049 Van Buren Ave","St. Paul","MN",55104,144900,3,1,"Thomas-Dale (Frogtown)",1108,4791,1947,2,"Garage",9,,"N","1st In Service Realty, Inc.","44,962364","-93,144569","N"
4436180,"1060 Howell St S","St. Paul","MN",55116,464900,3,"1,75","Highland",2132,12196,1956,2,"Garage",34,,"N","Edina Realty, Inc.","44,909348","-93,180634","N"
4439835,"1065 Edmund Ave","St. Paul","MN",55104,72000,3,2,"Thomas-Dale (Frogtown)",1644,6969,1914,2,"Garage",9,,"N","The Realty House","44,958725","-93,145119","N"
4421741,"1073 Kingsford St","St. Paul","MN",55106,147500,3,1,"Greater East Side",1455,5662,1953,5,"Garage",100,4/9/2013,"Y","RE/MAX Results","44,973854","-93,029457","N"
4435598,"1073 Seminary Ave","St. Paul","MN",55104,119900,2,1,"Thomas-Dale (Frogtown)",735,5662,1946,1,"Garage",37,,"N","Coldwell Banker Burnet","44,965065","-93,145378","N"
4426286,"1073 Woodbridge St","St. Paul","MN",55117,57500,3,2,"North End/South Como",1117,4791,1908,2,"Garage",84,,"N","Century 21 Pastrana, Inc","44,973686","-93,108864","N"
4437922,"1076 Arundel St","St. Paul","MN",55117,80000,2,"1,5","North End/South Como",776,5662,1917,2,"Garage",19,,"N","RE/MAX Results","44,97377","-93,118416","Y"
4429674,"1081 Cleveland Ave S","St. Paul","MN",55116,214900,3,"1,75","Highland",1434,6098,1951,2,"Garage",70,,"N","RE/MAX Results","44,90863","-93,187813","N"
4437401,"1084 Galtier St","St. Paul","MN",55117,154900,4,2,"North End/South Como",1834,4791,1906,2,"Garage",21,19/11/2010,"Y","Incentive Realty","44,973911","-93,110695","N"
4427106,"1085 Virginia St","St. Paul","MN",55117,79900,2,1,"North End/South Como",700,5662,1910,1,"Garage",77,1/6/2010,"Y","RE/MAX Professionals","44,973938","-93,115227","N"
4428323,"1089 Geranium Ave E","St. Paul","MN",55106,129900,3,"1,75","Payne-Phalen",1252,4791,1921,2,"Garage",76,,"N","Edina Realty, Inc.","44,975998","-93,054565","N"
4440500,"1089 Lombard Ave","St. Paul","MN",55105,699900,7,"4,25","Summit Hill",3955,6534,1923,2,"Garage",7,,"N","Edina Realty, Inc.","44,933537","-93,145943","N"
4423930,"1093 Lincoln Ave","St. Paul","MN",55105,364900,3,"2,25","Summit Hill",1848,6098,1938,3,"Garage",92,14/12/2009,"Y","Edina Realty, Inc.","44,93922","-93,146172","N"
4401117,"1097 6th St E","St. Paul","MN",55106,94850,2,1,"Dayton's Bluff",936,4791,1926,2,"Garage",137,6/3/2013,"Y","Keller Williams Integrity RE","44,960629","-93,054131","N"
4437569,"1098 Pacific St","St. Paul","MN",55106,104900,2,1,"Dayton's Bluff",936,10454,1919,9,"Garage",20,,"N","Edina Realty, Inc.","44,951061","-93,05423","N"
4376897,"11 E Wheelock Pkwy","St. Paul","MN",55117,225000,4,1,"North End/South Como",1818,38768,1900,2,"Garage",137,,"N","Better Homes and Gardens Real Estate-All Seasons","44,990578","-93,101143","N"
4432975,"11 W 48th St","Minneapolis","MN",55419,259800,3,"1,5","Tangletown",1295,4356,1909,1,"Garage",51,7/9/2012,"Y","Edina Realty, Inc.","44,915787","-93,278603","N"
4416542,"1100 Hyacinth Ave E","St. Paul","MN",55106,199900,3,1,"Payne-Phalen",1600,6098,1922,2,"Garage",117,5/9/2013,"Y","Real Estate Trader of Minnesota, Inc.","44,980007","-93,054131","N"
